timestamp, ref_x, ref_y, ref_z, ref_vel_x, ref_vel_y, ref_vel_z, ref_acc_x, ref_acc_y, ref_acc_z, ref_quat_x, ref_quat_y, ref_quat_z, ref_quat_w
1741942372.637132789, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.639131572, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.641171208, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.643166858, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.645166378, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.647135618, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.649167026, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.651170807, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.653167691, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.655167782, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.657169403, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.659166337, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.661135453, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.663139040, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.665133655, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.667133279, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.669133287, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.671133178, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.673133024, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.675133094, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.677133456, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.679133330, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.681133257, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.683133436, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.000541072, 0.000147618, -7.9872e-08, 1
1741942372.685133470, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.687133063, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.689135043, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.691134150, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.693136184, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.695134857, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.697137102, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.699145796, 2.61001e-05, -9.56662e-05, 3.316e-05, 0.00077815, -0.00285344, 0.000990094, 0.0153694, -0.0564084, 0.019614, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.701137972, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.703132772, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.705134780, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.707134302, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.709134445, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.711133245, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.713134508, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.715135209, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.717135567, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.719135324, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.721134962, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.723132945, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.725140400, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
1741942372.727138647, 8.72709e-05, -0.000320087, 0.000111122, 0.00172912, -0.00634614, 0.00220662, 0.0226217, -0.0831369, 0.0290008, 0.00104733, 0.000285369, -2.98875e-07, 0.999999
