time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, r_thr, r_psi
1744895330.611888885, 8.25072015e-08, -1.95684265e-07, -0.756136158, 8.79371188e-06, -2.09496873e-05, -3.70045136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.613887310, 1.01627389e-07, -2.41267888e-07, -0.763542911, 1.03493447e-05, -2.46902817e-05, -3.70630272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.615886927, 1.24043888e-07, -2.9478662e-07, -0.770960966, 1.20915434e-05, -2.8888818e-05, -3.71175251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.617893219, 1.5014194e-07, -3.57188019e-07, -0.778389527, 1.40324428e-05, -3.35770687e-05, -3.71680864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.619891405, 1.80331232e-07, -4.29483884e-07, -0.785827814, 1.61843599e-05, -3.87875236e-05, -3.72147882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.621902466, 2.15046275e-07, -5.12751739e-07, -0.793275063, 1.85598035e-05, -4.45534156e-05, -3.72577066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.623890162, 2.54746777e-07, -6.08136302e-07, -0.800730525, 2.11714575e-05, -5.09087034e-05, -3.72969157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.625887632, 2.99917976e-07, -7.16850917e-07, -0.808193465, 2.40321658e-05, -5.78880555e-05, -3.73324885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.627886772, 3.51070925e-07, -8.40178934e-07, -0.815663163, 2.71548836e-05, -6.5526775e-05, -3.73644963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.629888058, 4.08742575e-07, -9.79474711e-07, -0.823138914, 3.0552533e-05, -7.38605376e-05, -3.73930089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.631887197, 4.73495632e-07, -1.13616424e-06, -0.830620024, 3.42379452e-05, -8.29252936e-05, -3.74180949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.633887291, 5.45918353e-07, -1.31174565e-06, -0.838105815, 3.82238355e-05, -9.2757229e-05, -3.74398215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.635971069, 5.45918353e-07, -1.31174565e-06, -0.838105815, 3.82238355e-05, -9.2757229e-05, -3.74398215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.637887955, 7.1625197e-07, -1.72593988e-06, -0.853088794, 4.71471832e-05, -0.000114868336, -3.74734583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
